latitude,longitude,zip_code,total_volume,trees,aggrVolume
40.70556451,-73.98241943,11201,144,4514,582
40.70491228,-73.98970536,11201,3,4514,29
40.73563594,-73.96116225,10016,0,1872,2
40.70516279,-73.98747163,11201,9,4514,67
40.73303351,-73.96230459,10016,0,1872,10
40.7337543,-73.96235631,10016,1,1872,13
40.73719151,-73.95963912,11109,1,92,11
40.73888064,-73.95267097,11109,1,92,5
40.72524051,-73.96202174,11222,98,3704,382
40.70310636,-73.99506836,11201,11,4514,54
40.70687519,-73.96916727,11205,77,2640,266
40.69608832,-73.99959197,11201,4,4514,31
40.71010854,-73.96963093,11205,1,2640,13
40.70432763,-73.99065239,11201,2,4514,28
40.70455408,-73.98845965,11201,1,4514,24
40.72012455,-73.9643999,11222,9,3704,64
40.68069514,-73.98731529,11217,1,3244,17
40.67877027,-73.98864429,11217,2,3244,25
40.67807308,-73.98900545,11217,0,3244,4
40.68169219,-73.98684809,11217,198,3244,748
40.68133169,-73.98690303,11217,0,3244,17
40.68006008,-73.9877931,11217,0,3244,19
40.65541747,-74.01699857,11220,6,4677,14
40.6310411,-73.91716755,11236,0,6859,35
40.63156,-73.9174,11236,0,6859,48
40.63187,-73.917,11236,0,6859,60
40.75600363,-73.83854802,11355,115,5287,394
40.7554816,-73.83867275,11355,873,5287,2228
40.7601036,-73.94692833,11106,5,1964,49
40.74804276,-73.95482222,11109,1,92,33
40.7437995,-73.95968929,11109,1,92,28
40.7601659,-73.85459344,11368,1053,4346,3762
40.76246077,-73.85899432,11369,1097,3296,2445
40.75727273,-73.94920025,11106,9,1964,63
40.78911036,-73.85446448,11356,3,3099,25
40.78417825,-73.91725037,11105,8,3925,51
40.77859487,-73.84945868,11356,19,3099,89
40.77119305,-73.93492676,11102,29,1742,122
40.78613232,-73.91544093,11105,1,3925,9
40.76641634,-73.8624029,11371,183,129,301
40.78014937,-73.8503125,11356,6,3099,40
40.77951651,-73.89248033,11370,379,3179,932
40.77431707,-73.93778717,11102,2,1742,35
40.7735577,-73.88922245,11370,464,3179,2719
40.78026197,-73.90226192,11105,106,3925,341
40.76596709,-73.83908275,11354,522,5824,1518
40.79297535,-73.82927439,11357,142,9449,416
40.79643802,-73.80656737,11357,0,9449,0
40.78553544,-73.85896362,11356,8,3099,56
40.78265205,-73.91996012,11105,4,3925,42
40.78166733,-73.84919379,11356,47,3099,183
40.77638054,-73.89143414,11370,41,3179,163
40.77693066,-73.92819601,11102,227,1742,808
40.79716282,-73.81292221,11357,6,9449,32
40.776207,-73.92983087,11102,0,1742,0
40.76858456,-73.93781144,11102,86,1742,381
40.78914434,-73.79353628,11357,148,9449,501
40.79448819,-73.84884046,11356,10,3099,61
40.76144447,-73.94574269,11106,182,1964,1163
40.74962907,-73.95564214,11109,16,92,95
40.75362392,-73.95221497,11109,32,92,163
40.76178434,-73.75107857,11362,0,4429,0
40.74318736,-73.96080054,11109,2,92,36
40.73951688,-73.95229025,11109,10,92,72
40.73431415,-73.9403975,11101,0,3387,2
40.73909562,-73.94206062,11101,0,3387,2
40.73961236,-73.95271438,11109,19,92,110
40.74079096,-73.9403028,11101,50,3387,280
40.7409173,-73.94077286,11101,2,3387,27
40.73944786,-73.94142783,11101,1,3387,14
40.73978802,-73.95498642,11109,2,92,37
40.73373044,-73.94009366,11101,2,3387,26
40.72652882,-73.92728687,11378,28,4033,140
40.72362429,-73.92039015,11378,698,4033,1985
40.73900373,-73.94319102,11101,2,3387,38
40.7394436,-73.95765785,11109,1,92,36
40.61199007,-74.05976621,10305,39,6855,39
40.63747385,-74.14853139,10303,11,3238,85
40.61569189,-74.06293932,10305,8,6855,25
40.64553204,-74.10678896,10302,0,2369,0
40.63795479,-74.07260297,10301,40,6034,213
40.62249897,-74.07062843,10305,14,6855,95
40.64026582,-74.12603615,10310,0,3629,0
40.6438776,-74.1130807,10302,0,2369,0
40.64466176,-74.17173009,10303,0,3238,0
40.64557689,-74.10882584,10302,0,2369,0
40.6193664,-74.06710201,10305,68,6855,272
40.64347271,-74.1140255,10302,0,2369,0
40.63839332,-74.16017697,10303,0,3238,9
40.63796014,-74.15791595,10303,0,3238,11
40.64074247,-74.13925634,10310,155,3629,763
40.64103229,-74.1310909,10310,1,3629,25
40.63733181,-74.07051841,10301,1,6034,20
40.64122237,-74.16578241,10303,0,3238,0
40.62578274,-74.07246289,10305,1,6855,22
40.64732131,-74.08937446,10301,0,6034,0
40.64536001,-74.09839411,10301,4,6034,50
40.63738038,-74.12780665,10310,0,3629,0
40.6486483,-74.08423207,10301,0,6034,13
40.64013791,-74.12415171,10310,0,3629,0
40.86194116,-73.91695695,10034,1,1574,3
40.64605769,-74.09306086,10301,0,6034,0
40.7941656,-73.93097499,10035,0,2010,10
40.81127652,-73.93421631,10037,32,698,151
40.81783193,-73.93379524,10037,3,698,37
40.7966967,-73.929054,10035,0,2010,42
40.79317641,-73.93277818,10035,33,2010,170
40.79364259,-73.93193471,10035,1,2010,15
40.86555311,-73.91328948,10468,10,2990,25
40.86879907,-73.91132807,10468,26,2990,61
40.87416036,-73.91094096,10468,41,2990,183
40.79767063,-73.92899475,10035,0,2010,8
40.81570677,-73.93382036,10037,3,698,34
40.79111097,-73.93581401,10035,80,2010,335
40.87479171,-73.91916138,10468,2,2990,4
40.7959911,-73.92923523,10035,6,2010,30
40.80913506,-73.96854368,10024,4,3311,22
40.81620975,-73.93380157,10037,2,698,34
40.86808515,-73.91169379,10468,2,2990,6
40.81700209,-73.93379369,10037,11,698,70
40.82368503,-73.95953351,10031,2,2587,16
40.83717045,-73.93388818,10032,23,2217,119
40.85765761,-73.93941945,10034,0,1574,0
40.86925833,-73.93225885,10034,46,1574,112
40.81808635,-73.96203105,10115,70,7,314
40.84590091,-73.94643548,10032,10,2217,17
40.82267045,-73.93413144,10030,56,1365,239
40.81951092,-73.93383059,10037,5,698,46
40.82484306,-73.93434551,10039,182,801,686
40.80553196,-73.93165341,10035,3,2010,34
40.79975915,-73.92890002,10035,1,2010,24
40.80104104,-73.929034,10035,9,2010,57
40.79829438,-73.92896653,10035,4,2010,38
40.84326541,-73.93061081,10032,50,2217,213
40.85712287,-73.92155064,10034,0,1574,0
40.86006707,-73.92115855,10034,15,1574,64
40.86451222,-73.91496819,10034,2,1574,4
40.86072236,-73.91794876,10034,1,1574,3
40.85947506,-73.9188498,10034,30,1574,83
40.86243278,-73.9161661,10034,0,1574,0
40.86294097,-73.91565283,10034,1,1574,2
40.86313202,-73.91547898,10034,1,1574,14
40.78162556,-73.98802825,10069,5,119,15
40.83672071,-73.94929176,10031,8,2587,14
40.77767809,-73.94253339,10028,0,1806,13
40.78270856,-73.94362394,10028,12,1806,73
40.77984775,-73.94347067,10028,11,1806,66
40.78591972,-73.93924417,10029,5,2423,51
40.78712785,-73.93816723,10029,1,2423,13
40.78488965,-73.94051392,10028,1,1806,20
40.78644622,-73.93877658,10029,0,2423,0
40.78534367,-73.93975306,10029,1,2423,18
40.78858475,-73.93742096,10029,63,2423,264
40.78778988,-73.93777906,10029,1,2423,17
40.82888997,-73.93462666,10039,23,801,111
40.78661718,-73.98460928,10023,13,2260,38
40.77395744,-73.99609233,10019,12,1715,30
40.80692012,-73.93296809,10035,10,2010,61
40.82821066,-73.93461167,10039,14,801,91
40.79371141,-73.97962157,10025,0,3696,0
40.79702712,-73.97728594,10025,26,3696,96
40.77305094,-73.94438093,10044,0,0,0
40.77241461,-73.9450237,10044,0,0,0
40.77016048,-73.94745776,10044,194,0,730
40.80471115,-73.97180642,10025,3,3696,17
40.77428082,-73.9432567,10044,4,0,24
40.77637187,-73.94197318,10028,28,1806,133
40.7658176,-74.00212738,10019,1,1715,2
40.77112974,-73.99536242,10019,7,1715,19
40.82750307,-73.93448607,10039,25,801,128
40.76858489,-74.00134189,10019,6,1715,14
40.70151022,-74.01102384,10005,7,144,39
40.70291706,-74.00767011,10005,1,144,19
40.70188863,-74.00940481,10005,0,144,17
40.71856499,-74.01673267,10282,24,234,125
40.74452739,-74.0087973,10014,7,2591,20
40.74787578,-74.01136778,10014,10,2591,26
40.74584804,-74.01149378,10014,24,2591,62
40.75077212,-74.0108591,10014,9,2591,25
40.75237161,-74.00932449,10199,18,0,44
40.75473369,-74.00728221,10199,79,0,231
40.75277915,-73.95715715,11109,0,92,0
40.73012748,-74.01414256,10014,240,2591,770
40.73625626,-74.01063839,10014,4,2591,10
40.73344507,-74.01072376,10014,1,2591,64
40.76452438,-73.95234905,10044,3,0,43
40.76514332,-73.95178947,10044,0,0,17
40.73828366,-74.01106824,10014,14,2591,36
40.73922183,-74.01138779,10014,4,2591,11
40.74070524,-74.01113173,10014,0,2591,5
40.74252321,-74.00916064,10014,11,2591,84
40.70430385,-74.01753103,10280,4,418,23
40.71511013,-74.01736525,10282,7,234,46
40.70968602,-74.01845176,10280,5,418,41
40.76221876,-74.00183878,10018,4,485,43
40.76371155,-74.00370745,10018,1,485,3
40.76381264,-74.00088531,10018,2,485,6
